通報ID,三支業者通報時間,特店名稱,特店統一編號,特店地址,特店電話,特店註冊日期,特店網址,三支業者通報案由,三支業者示警,執法機構處理狀態,三支業者聯絡人,三支通報業者,特店成立至通報天數,跨業者通報數,是否跨業者重複通報,是否節慶高風險期間,節慶／消費檔期名稱,距節慶中心日天數,關聯群組,共用地址群組,共用電話群組,共用網址群組,建議綜合風險分數,資料性質
R00196,2025-04-27 10:48:00,飛躍國際有限公司,25013708,台南市中西區民生路二段62號12樓,07-7874-3478,2025-03-28,https://www.shop1092-tw.com,疑似人頭特店,中,調查中,陳冠宇,第三方支付A,30,3,是,否,,,,,,,53,模擬資料
R00195,2025-04-27 13:23:00,富邦達電子商務有限公司,25001192,高雄市苓雅區中正二路88號6樓,07-223-5566,2024-10-17,https://www.easybonus-market-1.com,特店網站內容與申請業態不符,中,調查中,蔡承翰,第三方支付C,192,3,是,否,,,G04,ADDR-G04,TEL-G04,WEB-G04,55,模擬資料
R00197,2025-04-28 17:07:00,領航電子商務有限公司,25008344,台北市大安區復興南路一段254號14樓,05-9224-3857,2024-03-11,https://www.shop1056-tw.com,疑似假交易真套現,中,要求補充資料,黃郁涵,第三方支付B,413,3,是,否,,,,,,,52,模擬資料
R00198,2025-04-29 09:14:00,樂購國際有限公司,25015347,高雄市三民區建國二路142號6樓,06-7497-4882,2025-03-12,https://www.shop1103-tw.com,疑似人頭特店,低,已通報執法機構,王怡婷,第三方支付A,48,3,是,否,,,,,,,68,模擬資料
R00199,2025-04-30 19:17:00,捷利數位有限公司,25008940,台北市大安區復興南路一段273號5樓,07-9651-9067,2024-07-14,https://www.shop1060-tw.com,疑似假交易真套現,低,尚未移送,林志豪,第三方支付A,290,3,是,否,,,,,,,39,模擬資料
R00200,2025-04-30 21:10:00,嘉禾科技有限公司,25008642,台南市中西區民生路二段143號7樓,03-7285-7619,2024-05-12,https://www.shop1058-tw.com,大量退款與取消交易,低,尚未移送,黃郁涵,第三方支付B,353,2,是,否,,,,,,,34,模擬資料
R00201,2025-05-01 21:44:00,樂購商行,25013112,新竹市東區光復路二段266號4樓,02-7225-9099,2025-02-24,https://www.shop1088-tw.com,特店網站內容與申請業態不符,低,調查中,王怡婷,第三方支付A,66,3,是,否,,,,,,,51,模擬資料
R00203,2025-05-03 08:19:00,創盈數位有限公司,25001490,台北市中山區南京東路二段100號8樓,02-2718-8899,2024-04-21,https://www.fastmall-pay-3.com,疑似串接博弈網站,中,要求補充資料,周柏廷,第三方支付C,377,3,是,否,,,G01,ADDR-G01,TEL-G01,WEB-G01,71,模擬資料
R00202,2025-05-03 21:02:00,萬禾數位有限公司,25012367,新北市新莊區中正路130號10樓,05-2744-3109,2025-01-27,https://www.shop1083-tw.com,多筆交易來源高度集中,中,已通報執法機構,陳冠宇,第三方支付A,96,3,是,否,,,,,,,64,模擬資料
R00204,2025-05-04 10:31:00,聯盛國際有限公司,25008046,高雄市三民區建國二路283號10樓,06-4910-2479,2024-11-28,https://www.shop1054-tw.com,短期交易量異常成長,中,調查中,林志豪,第三方支付A,157,3,是,否,,,,,,,55,模擬資料
R00206,2025-05-05 12:37:00,宏富電子商務有限公司,25002831,桃園市桃園區中正路520號10樓,03-335-8811,2024-06-10,https://www.superdeal-tw-4.com,疑似串接博弈網站,高,已通報執法機構,黃郁涵,第三方支付B,329,3,是,否,,,G05,ADDR-G05,TEL-G05,WEB-G05,53,模擬資料
R00205,2025-05-05 21:33:00,百匯數位有限公司,25002533,台中市西屯區台灣大道三段660號9樓,04-2310-6688,2024-02-19,https://www.goldtrade-shop-2.com,異常大量交易,中,已通報執法機構,吳佩珊,第三方支付C,441,3,是,否,,,G03,ADDR-G03,TEL-G03,WEB-G03,64,模擬資料
R00207,2025-05-06 08:28:00,易享行銷有限公司,25009238,台北市大安區復興南路一段125號6樓,06-4230-2649,2024-06-04,https://www.shop1062-tw.com,特店網站內容與申請業態不符,低,已通報執法機構,張家維,第三方支付B,336,3,是,否,,,,,,,42,模擬資料
R00209,2025-05-07 15:10:00,金曜商行,25010281,台中市北屯區崇德路二段258號2樓,02-5371-8739,2024-04-17,https://www.shop1069-tw.com,多筆交易來源高度集中,低,結案未確認違法,黃郁涵,第三方支付B,385,1,否,否,,,,,,,30,模擬資料
R00208,2025-05-07 19:20:00,優選國際有限公司,25004470,台北市中山區南京東路二段100號8樓,02-2718-8899,2024-10-27,https://www.fastmall-pay-3.com,疑似串接博弈網站,中,要求補充資料,張家維,第三方支付B,192,3,是,否,,,G01,ADDR-G01,TEL-G01,WEB-G01,56,模擬資料
R00210,2025-05-08 16:12:00,宏富商行,25003725,台北市中山區南京東路二段100號8樓,02-2718-8899,2024-10-07,https://www.fastmall-pay-2.com,疑似人頭特店,中,尚未移送,李佳穎,第三方支付B,213,3,是,否,,,G01,ADDR-G01,TEL-G01,WEB-G01,66,模擬資料
R00211,2025-05-09 13:25:00,宏富電子商務有限公司,25002831,桃園市桃園區中正路520號10樓,03-335-8811,2024-06-10,https://www.superdeal-tw-4.com,疑似假交易真套現,高,要求補充資料,吳佩珊,第三方支付C,333,3,是,否,,,G05,ADDR-G05,TEL-G05,WEB-G05,77,模擬資料
R00213,2025-05-11 14:45:00,萬禾國際有限公司,25006407,台南市中西區民生路二段190號4樓,05-5510-6770,2024-11-15,https://www.shop1043-tw.com,疑似假投資平台收款,中,要求補充資料,李佳穎,第三方支付B,177,3,是,否,,,,,,,59,模擬資料
R00212,2025-05-11 16:09:00,宏富數位有限公司,25010579,台南市中西區民生路二段200號3樓,04-9141-1105,2024-10-12,https://www.shop1071-tw.com,疑似假投資平台收款,低,尚未移送,陳冠宇,第三方支付A,211,3,是,否,,,,,,,42,模擬資料
R00214,2025-05-12 17:09:00,易享行銷有限公司,25016837,台北市大安區復興南路一段191號11樓,06-2814-4964,2025-01-30,https://www.shop1113-tw.com,異常大量交易,中,調查中,林志豪,第三方支付A,102,3,是,否,,,,,,,53,模擬資料
R00216,2025-05-14 08:18:00,宏富行銷有限公司,25006854,高雄市三民區建國二路112號7樓,03-5344-7015,2024-09-30,https://www.shop1046-tw.com,疑似假交易真套現,中,已通報執法機構,周柏廷,第三方支付C,226,3,是,否,,,,,,,57,模擬資料
R00215,2025-05-14 12:33:00,富邦達行銷有限公司,25012963,台北市大安區復興南路一段293號4樓,05-9521-8179,2025-05-01,https://www.shop1087-tw.com,疑似假交易真套現,低,已通報執法機構,張家維,第三方支付B,13,3,是,否,,,,,,,58,模擬資料
R00217,2025-05-15 19:26:00,優選國際有限公司,25004470,台北市中山區南京東路二段100號8樓,02-2718-8899,2024-10-27,https://www.fastmall-pay-3.com,疑似串接博弈網站,中,已通報執法機構,黃郁涵,第三方支付B,200,3,是,否,,,G01,ADDR-G01,TEL-G01,WEB-G01,67,模擬資料
R00218,2025-05-16 20:39:00,新曜數位有限公司,25005811,新竹市東區光復路二段132號9樓,05-6088-1591,2024-06-27,https://www.shop1039-tw.com,異常大量交易,低,尚未移送,張家維,第三方支付B,323,3,是,否,,,,,,,45,模擬資料
R00219,2025-05-16 22:14:00,百匯行銷有限公司,25004768,台中市西屯區台灣大道三段660號9樓,04-2310-6688,2024-06-18,https://www.goldtrade-shop-1.com,疑似串接博弈網站,中,已通報執法機構,周柏廷,第三方支付C,332,3,是,否,,,G03,ADDR-G03,TEL-G03,WEB-G03,58,模擬資料
R00220,2025-05-17 14:42:00,金曜商行,25010281,台中市北屯區崇德路二段258號2樓,02-5371-8739,2024-04-17,https://www.shop1069-tw.com,多筆交易來源高度集中,中,結案未確認違法,張家維,第三方支付B,395,1,否,否,,,,,,,28,模擬資料
R00221,2025-05-19 17:21:00,領航科技有限公司,25014900,台南市中西區民生路二段282號2樓,07-7106-7293,2025-01-16,https://www.shop1100-tw.com,異常大量交易,高,已通報執法機構,黃郁涵,第三方支付B,123,3,是,否,,,,,,,54,模擬資料
R00222,2025-05-20 10:01:00,豐盛數位有限公司,25000000,台北市中山區南京東路二段100號8樓,02-2718-8899,2024-09-03,https://www.fastmall-pay-1.com,疑似洗錢,中,調查中,吳佩珊,第三方支付C,259,3,是,否,,,G01,ADDR-G01,TEL-G01,WEB-G01,66,模擬資料
R00223,2025-05-20 14:35:00,捷利科技有限公司,25013559,高雄市三民區建國二路140號9樓,03-7800-5963,2025-04-03,https://www.shop1091-tw.com,大量退款與取消交易,中,尚未移送,陳冠宇,第三方支付A,47,2,是,否,,,,,,,67,模擬資料
R00224,2025-05-21 20:49:00,富邦達數位有限公司,25004172,高雄市苓雅區中正二路88號6樓,07-223-5566,2024-09-11,https://www.easybonus-market-1.com,疑似洗錢,高,確認涉詐,黃郁涵,第三方支付B,252,3,是,是,端午節,-10,G04,ADDR-G04,TEL-G04,WEB-G04,78,模擬資料
R00225,2025-05-23 18:24:00,宏富商行,25003725,台北市中山區南京東路二段100號8樓,02-2718-8899,2024-10-07,https://www.fastmall-pay-2.com,疑似人頭特店,中,調查中,王怡婷,第三方支付A,228,3,是,是,端午節,-8,G01,ADDR-G01,TEL-G01,WEB-G01,87,模擬資料
R00226,2025-05-24 16:46:00,鼎盛國際有限公司,25007301,台中市北屯區崇德路二段138號8樓,03-7039-9511,2024-11-09,https://www.shop1049-tw.com,疑似假交易真套現,中,調查中,王怡婷,第三方支付A,196,2,是,是,端午節,-7,,,,,52,模擬資料
R00227,2025-05-25 09:55:00,昇泰商行,25017135,桃園市桃園區中正路220號3樓,04-8411-2039,2025-02-22,https://www.shop1115-tw.com,疑似假投資平台收款,中,調查中,李佳穎,第三方支付B,92,3,是,是,端午節,-6,,,,,73,模擬資料
R00228,2025-05-25 18:23:00,創盈數位有限公司,25001490,台北市中山區南京東路二段100號8樓,02-2718-8899,2024-04-21,https://www.fastmall-pay-3.com,疑似人頭特店,高,已通報執法機構,蔡承翰,第三方支付C,399,3,是,是,端午節,-6,G01,ADDR-G01,TEL-G01,WEB-G01,68,模擬資料
R00229,2025-05-26 09:55:00,聯盛電子商務有限公司,25000596,桃園市桃園區中正路520號10樓,03-335-8811,2024-08-07,https://www.superdeal-tw-1.com,疑似假交易真套現,高,調查中,黃郁涵,第三方支付B,292,3,是,是,端午節,-5,G05,ADDR-G05,TEL-G05,WEB-G05,78,模擬資料
R00231,2025-05-26 12:05:00,優選國際有限公司,25004470,台北市中山區南京東路二段100號8樓,02-2718-8899,2024-10-27,https://www.fastmall-pay-3.com,疑似串接博弈網站,中,確認涉詐,周柏廷,第三方支付C,211,3,是,是,端午節,-5,G01,ADDR-G01,TEL-G01,WEB-G01,81,模擬資料
R00232,2025-05-26 13:25:00,新富商行,25012218,新北市新莊區中正路116號12樓,07-6421-2098,2025-03-08,https://www.shop1082-tw.com,疑似假投資平台收款,中,調查中,黃郁涵,第三方支付B,79,3,是,是,端午節,-5,,,,,69,模擬資料
R00230,2025-05-26 17:06:00,金曜商行,25012516,台南市中西區民生路二段29號8樓,05-8255-6727,2025-05-16,https://www.shop1084-tw.com,疑似洗錢,高,要求補充資料,蔡承翰,第三方支付C,10,3,是,是,端午節,-5,,,,,83,模擬資料
R00234,2025-05-27 13:40:00,聯盛數位有限公司,25003129,新北市板橋區中山路一段168號12樓,02-2955-7711,2024-10-25,https://www.bestdeal-tw-2.com,疑似人頭特店,中,調查中,李佳穎,第三方支付B,214,3,是,是,端午節,-4,G02,ADDR-G02,TEL-G02,WEB-G02,66,模擬資料
R00233,2025-05-27 15:27:00,飛躍商行,25011920,台中市北屯區崇德路二段261號15樓,05-9805-6623,2025-02-10,https://www.shop1080-tw.com,疑似人頭特店,中,要求補充資料,周柏廷,第三方支付C,106,3,是,是,端午節,-4,,,,,68,模擬資料
R00236,2025-05-28 08:49:00,富邦達電子商務有限公司,25001192,高雄市苓雅區中正二路88號6樓,07-223-5566,2024-10-17,https://www.easybonus-market-1.com,異常大量交易,高,已移送偵辦,陳冠宇,第三方支付A,223,3,是,是,端午節,-3,G04,ADDR-G04,TEL-G04,WEB-G04,85,模擬資料
R00237,2025-05-28 12:01:00,迅達數位有限公司,25009536,高雄市三民區建國二路193號2樓,05-2902-1366,2024-10-22,https://www.shop1064-tw.com,疑似洗錢,高,已通報執法機構,林志豪,第三方支付A,218,3,是,是,端午節,-3,,,,,56,模擬資料
R00235,2025-05-28 20:58:00,昇泰商行,25006109,台北市大安區復興南路一段120號2樓,04-5995-3436,2024-10-17,https://www.shop1041-tw.com,異常大量交易,中,調查中,黃郁涵,第三方支付B,223,2,是,是,端午節,-3,,,,,50,模擬資料
R00239,2025-05-29 11:13:00,迅達科技有限公司,25013261,台中市北屯區崇德路二段73號11樓,07-4707-1331,2025-04-25,https://www.shop1089-tw.com,異常大量交易,中,要求補充資料,蔡承翰,第三方支付C,34,2,是,是,端午節,-2,,,,,63,模擬資料
R00238,2025-05-29 19:31:00,大洋科技有限公司,25002235,台北市中山區南京東路二段100號8樓,02-2718-8899,2024-03-07,https://www.fastmall-pay-4.com,疑似假交易真套現,高,尚未移送,王怡婷,第三方支付A,448,3,是,是,端午節,-2,G01,ADDR-G01,TEL-G01,WEB-G01,67,模擬資料
R00240,2025-05-30 14:51:00,聯盛數位有限公司,25003129,新北市板橋區中山路一段168號12樓,02-2955-7711,2024-10-25,https://www.bestdeal-tw-2.com,疑似假交易真套現,高,確認涉詐,吳佩珊,第三方支付C,217,3,是,是,端午節,-1,G02,ADDR-G02,TEL-G02,WEB-G02,82,模擬資料
R00241,2025-05-30 17:11:00,鑫盛電子商務有限公司,25000745,台北市中山區南京東路二段100號8樓,02-2718-8899,2024-03-29,https://www.fastmall-pay-2.com,疑似洗錢,高,要求補充資料,李佳穎,第三方支付B,427,3,是,是,端午節,-1,G01,ADDR-G01,TEL-G01,WEB-G01,79,模擬資料
R00242,2025-05-31 10:25:00,百匯行銷有限公司,25004768,台中市西屯區台灣大道三段660號9樓,04-2310-6688,2024-06-18,https://www.goldtrade-shop-1.com,特店網站內容與申請業態不符,高,確認涉詐,陳冠宇,第三方支付A,347,3,是,是,端午節,0,G03,ADDR-G03,TEL-G03,WEB-G03,81,模擬資料
R00243,2025-05-31 13:25:00,樂購科技有限公司,25003576,桃園市桃園區中正路520號10樓,03-335-8811,2024-04-29,https://www.superdeal-tw-1.com,疑似串接博弈網站,中,已通報執法機構,蔡承翰,第三方支付C,397,3,是,是,端午節,0,G05,ADDR-G05,TEL-G05,WEB-G05,67,模擬資料
R00245,2025-06-01 08:24:00,聚鑫行銷有限公司,25016241,高雄市三民區建國二路169號15樓,06-3279-8567,2025-05-11,https://www.shop1109-tw.com,疑似假交易真套現,低,尚未移送,周柏廷,第三方支付C,21,1,否,是,端午節,1,,,,,68,模擬資料
R00244,2025-06-01 18:47:00,飛躍商行,25011920,台中市北屯區崇德路二段261號15樓,05-9805-6623,2025-02-10,https://www.shop1080-tw.com,疑似串接博弈網站,高,確認涉詐,李佳穎,第三方支付B,111,3,是,是,端午節,1,,,,,73,模擬資料
R00246,2025-06-02 08:27:00,新富電子商務有限公司,25011473,台中市北屯區崇德路二段91號9樓,06-6453-1016,2025-05-04,https://www.shop1077-tw.com,異常大量交易,高,要求補充資料,周柏廷,第三方支付C,29,3,是,是,端午節,2,,,,,80,模擬資料
R00247,2025-06-02 15:44:00,聯盛數位有限公司,25003129,新北市板橋區中山路一段168號12樓,02-2955-7711,2024-10-25,https://www.bestdeal-tw-2.com,疑似人頭特店,高,調查中,黃郁涵,第三方支付B,220,3,是,是,端午節,2,G02,ADDR-G02,TEL-G02,WEB-G02,84,模擬資料
R00248,2025-06-03 14:33:00,創盈國際有限公司,25014453,桃園市桃園區中正路218號3樓,07-4177-8362,2025-03-31,https://www.shop1097-tw.com,疑似人頭特店,高,確認涉詐,李佳穎,第三方支付B,64,3,是,是,端午節,3,,,,,74,模擬資料
R00250,2025-06-04 11:12:00,創盈數位有限公司,25015496,台北市信義區松仁路76號5樓,07-4933-2849,2025-01-10,https://www.shop1104-tw.com,疑似人頭特店,低,已通報執法機構,李佳穎,第三方支付B,145,2,是,是,端午節,4,,,,,45,模擬資料
R00251,2025-06-04 15:40:00,易享電子商務有限公司,25000298,台中市西屯區台灣大道三段660號9樓,04-2310-6688,2024-02-20,https://www.goldtrade-shop-3.com,疑似洗錢,中,尚未移送,吳佩珊,第三方支付C,470,3,是,是,端午節,4,G03,ADDR-G03,TEL-G03,WEB-G03,60,模擬資料
R00252,2025-06-04 16:05:00,宏富電子商務有限公司,25002831,桃園市桃園區中正路520號10樓,03-335-8811,2024-06-10,https://www.superdeal-tw-4.com,疑似人頭特店,高,要求補充資料,蔡承翰,第三方支付C,359,3,是,是,端午節,4,G05,ADDR-G05,TEL-G05,WEB-G05,75,模擬資料
R00249,2025-06-04 16:07:00,樂購國際有限公司,25004321,桃園市桃園區中正路520號10樓,03-335-8811,2024-05-30,https://www.superdeal-tw-2.com,疑似洗錢,中,要求補充資料,蔡承翰,第三方支付C,370,3,是,是,端午節,4,G05,ADDR-G05,TEL-G05,WEB-G05,61,模擬資料
R00253,2025-06-05 12:31:00,宏富商行,25003725,台北市中山區南京東路二段100號8樓,02-2718-8899,2024-10-07,https://www.fastmall-pay-2.com,疑似假交易真套現,高,確認涉詐,黃郁涵,第三方支付B,241,3,是,是,端午節,5,G01,ADDR-G01,TEL-G01,WEB-G01,74,模擬資料
R00254,2025-06-06 11:07:00,萬禾科技有限公司,25012814,台北市信義區松仁路279號10樓,06-8490-1963,2025-05-20,https://www.shop1086-tw.com,特店網站內容與申請業態不符,高,確認涉詐,陳冠宇,第三方支付A,17,3,是,否,,,,,,,73,模擬資料
R00255,2025-06-06 11:13:00,嘉禾科技有限公司,25006556,台南市中西區民生路二段132號15樓,06-5800-7245,2024-05-10,https://www.shop1044-tw.com,疑似假投資平台收款,低,尚未移送,周柏廷,第三方支付C,392,3,是,否,,,,,,,35,模擬資料
R00256,2025-06-07 12:23:00,富邦達科技有限公司,25006258,新竹市東區光復路二段72號5樓,07-5173-6539,2024-02-29,https://www.shop1042-tw.com,疑似人頭特店,中,已通報執法機構,林志豪,第三方支付A,464,2,是,否,,,,,,,45,模擬資料
R00257,2025-06-08 16:36:00,新富行銷有限公司,25017582,台南市中西區民生路二段50號7樓,06-8172-9499,2025-05-08,https://www.shop1118-tw.com,疑似人頭特店,中,要求補充資料,林志豪,第三方支付A,31,3,是,否,,,,,,,56,模擬資料
R00258,2025-06-09 17:37:00,聯盛電子商務有限公司,25000596,桃園市桃園區中正路520號10樓,03-335-8811,2024-08-07,https://www.superdeal-tw-1.com,疑似假交易真套現,高,已移送偵辦,王怡婷,第三方支付A,306,3,是,否,,,G05,ADDR-G05,TEL-G05,WEB-G05,77,模擬資料
R00259,2025-06-10 10:45:00,優選國際有限公司,25004470,台北市中山區南京東路二段100號8樓,02-2718-8899,2024-10-27,https://www.fastmall-pay-3.com,疑似人頭特店,高,確認涉詐,周柏廷,第三方支付C,226,3,是,否,,,G01,ADDR-G01,TEL-G01,WEB-G01,79,模擬資料
R00262,2025-06-11 09:15:00,新曜商行,25003427,高雄市苓雅區中正二路88號6樓,07-223-5566,2024-10-01,https://www.easybonus-market-4.com,疑似人頭特店,低,尚未移送,王怡婷,第三方支付A,253,3,是,否,,,G04,ADDR-G04,TEL-G04,WEB-G04,57,模擬資料
R00260,2025-06-11 13:03:00,創盈科技有限公司,25015049,新北市新莊區中正路207號5樓,03-8448-8627,2025-01-10,https://www.shop1101-tw.com,多筆交易來源高度集中,中,調查中,周柏廷,第三方支付C,152,3,是,否,,,,,,,51,模擬資料
R00261,2025-06-11 19:05:00,鼎盛科技有限公司,25001788,台中市西屯區台灣大道三段660號9樓,04-2310-6688,2024-11-06,https://www.goldtrade-shop-1.com,疑似假交易真套現,高,已移送偵辦,黃郁涵,第三方支付B,217,3,是,否,,,G03,ADDR-G03,TEL-G03,WEB-G03,78,模擬資料
R00264,2025-06-12 09:01:00,領航行銷有限公司,25008493,台北市信義區松仁路252號7樓,07-8157-3789,2024-09-24,https://www.shop1057-tw.com,疑似人頭特店,中,尚未移送,林志豪,第三方支付A,261,3,是,否,,,,,,,42,模擬資料
R00263,2025-06-12 22:08:00,捷利數位有限公司,25005662,台北市大安區復興南路一段138號9樓,04-4876-6568,2024-05-03,https://www.shop1038-tw.com,疑似假交易真套現,中,尚未移送,周柏廷,第三方支付C,405,2,是,否,,,,,,,26,模擬資料
R00265,2025-06-13 08:27:00,樂購國際有限公司,25015347,高雄市三民區建國二路142號6樓,06-7497-4882,2025-03-12,https://www.shop1103-tw.com,多筆交易來源高度集中,中,尚未移送,張家維,第三方支付B,93,3,是,否,,,,,,,64,模擬資料
R00266,2025-06-15 19:02:00,昇泰商行,25014602,台北市大安區復興南路一段257號2樓,02-6258-6137,2025-03-28,https://www.shop1098-tw.com,疑似假交易真套現,中,要求補充資料,張家維,第三方支付B,79,3,是,否,,,,,,,67,模擬資料
R00268,2025-06-17 16:03:00,新富商行,25012218,新北市新莊區中正路116號12樓,07-6421-2098,2025-03-08,https://www.shop1082-tw.com,疑似串接博弈網站,中,已通報執法機構,李佳穎,第三方支付B,101,3,是,否,,,,,,,57,模擬資料
R00267,2025-06-17 20:28:00,易享電子商務有限公司,25000298,台中市西屯區台灣大道三段660號9樓,04-2310-6688,2024-02-20,https://www.goldtrade-shop-3.com,疑似假交易真套現,中,已通報執法機構,蔡承翰,第三方支付C,483,3,是,否,,,G03,ADDR-G03,TEL-G03,WEB-G03,55,模擬資料
R00269,2025-06-18 22:17:00,迅達數位有限公司,25009536,高雄市三民區建國二路193號2樓,05-2902-1366,2024-10-22,https://www.shop1064-tw.com,疑似假交易真套現,低,已通報執法機構,陳冠宇,第三方支付A,239,3,是,否,,,,,,,44,模擬資料
R00270,2025-06-20 21:27:00,新富電子商務有限公司,25011473,台中市北屯區崇德路二段91號9樓,06-6453-1016,2025-05-04,https://www.shop1077-tw.com,特店網站內容與申請業態不符,高,調查中,黃郁涵,第三方支付B,47,3,是,否,,,,,,,83,模擬資料
R00271,2025-06-21 14:53:00,富邦達科技有限公司,25006258,新竹市東區光復路二段72號5樓,07-5173-6539,2024-02-29,https://www.shop1042-tw.com,疑似洗錢,中,調查中,王怡婷,第三方支付A,478,2,是,否,,,,,,,50,模擬資料
R00272,2025-06-23 08:37:00,萬禾行銷有限公司,25002980,台北市中山區南京東路二段100號8樓,02-2718-8899,2024-06-18,https://www.fastmall-pay-1.com,疑似人頭特店,中,尚未移送,周柏廷,第三方支付C,370,3,是,否,,,G01,ADDR-G01,TEL-G01,WEB-G01,54,模擬資料
R00273,2025-06-23 12:47:00,新富行銷有限公司,25017582,台南市中西區民生路二段50號7樓,06-8172-9499,2025-04-11,https://www.shop1118-tw.com,異常大量交易,中,尚未移送,黃郁涵,第三方支付B,73,3,是,否,,,,,,,65,模擬資料
R00274,2025-06-24 12:51:00,創盈數位有限公司,25015496,台北市信義區松仁路76號5樓,07-4933-2849,2025-01-10,https://www.shop1104-tw.com,大量退款與取消交易,中,尚未移送,陳冠宇,第三方支付A,165,2,是,否,,,,,,,63,模擬資料
R00275,2025-06-24 20:42:00,昇泰國際有限公司,25001341,桃園市桃園區中正路520號10樓,03-335-8811,2024-10-02,https://www.superdeal-tw-2.com,疑似人頭特店,中,尚未移送,黃郁涵,第三方支付B,265,3,是,否,,,G05,ADDR-G05,TEL-G05,WEB-G05,60,模擬資料
R00276,2025-06-25 12:00:00,領航電子商務有限公司,25012665,新竹市東區光復路二段242號7樓,03-8425-8379,2025-04-18,https://www.shop1085-tw.com,特店網站內容與申請業態不符,高,調查中,黃郁涵,第三方支付B,68,3,是,否,,,,,,,57,模擬資料
R00277,2025-06-27 12:44:00,富邦達科技有限公司,25006258,新竹市東區光復路二段72號5樓,07-5173-6539,2024-02-29,https://www.shop1042-tw.com,異常大量交易,低,結案未確認違法,陳冠宇,第三方支付A,484,2,是,否,,,,,,,38,模擬資料
R00278,2025-06-27 16:02:00,大洋數位有限公司,25011026,新北市新莊區中正路208號14樓,07-5681-9117,2024-08-13,https://www.shop1074-tw.com,疑似串接博弈網站,低,結案未確認違法,林志豪,第三方支付A,318,3,是,否,,,,,,,35,模擬資料
R00279,2025-06-28 09:30:00,大洋數位有限公司,25017433,台南市中西區民生路二段40號14樓,04-6236-3489,2025-03-23,https://www.shop1117-tw.com,特店網站內容與申請業態不符,中,要求補充資料,黃郁涵,第三方支付B,97,3,是,否,,,,,,,49,模擬資料
R00280,2025-06-29 11:47:00,樂購商行,25013112,新竹市東區光復路二段266號4樓,02-7225-9099,2025-04-02,https://www.shop1088-tw.com,特店網站內容與申請業態不符,中,要求補充資料,黃郁涵,第三方支付B,88,3,是,否,,,,,,,62,模擬資料
R00281,2025-06-30 13:04:00,優選國際有限公司,25004470,台北市中山區南京東路二段100號8樓,02-2718-8899,2024-10-27,https://www.fastmall-pay-3.com,特店網站內容與申請業態不符,高,已移送偵辦,周柏廷,第三方支付C,246,3,是,否,,,G01,ADDR-G01,TEL-G01,WEB-G01,77,模擬資料
R00282,2025-06-30 18:41:00,新富行銷有限公司,25017582,台南市中西區民生路二段50號7樓,06-8172-9499,2025-04-22,https://www.shop1118-tw.com,特店網站內容與申請業態不符,高,調查中,黃郁涵,第三方支付B,69,3,是,否,,,,,,,77,模擬資料
R00283,2025-07-01 22:35:00,大洋科技有限公司,25002235,台北市中山區南京東路二段100號8樓,02-2718-8899,2024-03-07,https://www.fastmall-pay-4.com,疑似人頭特店,高,已移送偵辦,吳佩珊,第三方支付C,481,3,是,否,,,G01,ADDR-G01,TEL-G01,WEB-G01,75,模擬資料
R00284,2025-07-01 22:39:00,嘉禾電子商務有限公司,25000447,高雄市苓雅區中正二路88號6樓,07-223-5566,2024-03-10,https://www.easybonus-market-4.com,疑似串接博弈網站,中,尚未移送,陳冠宇,第三方支付A,478,3,是,否,,,G04,ADDR-G04,TEL-G04,WEB-G04,63,模擬資料
R00286,2025-07-02 16:34:00,百匯行銷有限公司,25016092,台南市中西區民生路二段62號9樓,06-4825-7451,2025-04-06,https://www.shop1108-tw.com,特店網站內容與申請業態不符,中,尚未移送,黃郁涵,第三方支付B,87,3,是,否,,,,,,,67,模擬資料
R00285,2025-07-02 17:30:00,聚鑫電子商務有限公司,25000894,新北市板橋區中山路一段168號12樓,02-2955-7711,2024-04-22,https://www.bestdeal-tw-3.com,異常大量交易,中,尚未移送,周柏廷,第三方支付C,436,3,是,否,,,G02,ADDR-G02,TEL-G02,WEB-G02,69,模擬資料
R00287,2025-07-02 19:45:00,大洋科技有限公司,25002235,台北市中山區南京東路二段100號8樓,02-2718-8899,2024-03-07,https://www.fastmall-pay-4.com,疑似洗錢,低,要求補充資料,林志豪,第三方支付A,482,3,是,否,,,G01,ADDR-G01,TEL-G01,WEB-G01,67,模擬資料
R00288,2025-07-03 10:15:00,萬禾國際有限公司,25006407,台南市中西區民生路二段190號4樓,05-5510-6770,2024-11-15,https://www.shop1043-tw.com,多筆交易來源高度集中,中,調查中,黃郁涵,第三方支付B,230,3,是,否,,,,,,,49,模擬資料
R00289,2025-07-04 14:28:00,創盈商行,25004619,新北市板橋區中山路一段168號12樓,02-2955-7711,2024-04-15,https://www.bestdeal-tw-4.com,疑似洗錢,中,已通報執法機構,周柏廷,第三方支付C,445,3,是,否,,,G02,ADDR-G02,TEL-G02,WEB-G02,71,模擬資料
R00290,2025-07-04 19:51:00,迅達國際有限公司,25014155,台中市北屯區崇德路二段279號6樓,04-3036-1333,2025-07-03,https://www.shop1095-tw.com,疑似串接博弈網站,高,已通報執法機構,黃郁涵,第三方支付B,1,3,是,否,,,,,,,65,模擬資料
R00291,2025-07-05 08:55:00,新富行銷有限公司,25017582,台南市中西區民生路二段50號7樓,06-8172-9499,2025-05-05,https://www.shop1118-tw.com,疑似人頭特店,中,已移送偵辦,王怡婷,第三方支付A,61,3,是,否,,,,,,,75,模擬資料
